Emri,Cmimi
ASUS ROG Strix GeForce RTX™ 4070 SUPER 12GB,87990
ASUS ROG Strix GeForce RTX™ 4070 Ti 12GB,99990
"Asus ROG Strix Helios Gaming, 64GB, 2TB SSD, Core™ i7, Custom Build",364990
ASUS ROG STRIX LC II 360 ARGB,34990
Asus ROG Strix Scope RX TKL Mechanical Gaming Keyboard,27990
Asus Strix Raid DLX Sound Card,19990
Asus Strix Raid Pro Sound Card,15990
"Asus TUF Dash F15 Gaming 15.6″, 32GB, 512GB SSD, Core i7",159990
Asus TUF Gaming 1000W Gold PSU,24990
Asus TUF Gaming 1200W Gold PSU,33990
Asus TUF Gaming 650B PSU,11490
Asus TUF Gaming 750W Bronze PSU,11990
Asus TUF Gaming 750W Gold PSU,17990
ASUS TUF Gaming GeForce RTX™ 4070 SUPER 12GB GDDR6X,80990
ASUS TUF Gaming LC II 240 ARGB,13490
ASUS TUF Gaming LC II 360 ARGB,22990
ASUS TUF Gaming Radeon™ RX 7700 XT OC Edition 12G,54490
ASUS TUF Gaming Radeon™ RX 7800 XT OG OC Edition 16GB GDDR6,62490
ASUS TUF Gaming TF120 ARGB Fan,2490
"Asus Zenbook 14″ OLED , 8GB, 512GB SSD, Ultra 5",79990
"Asus Zenbook 14X 14.5″ OLED Touchscreen, 8GB, 512GB SSD, Core i5",64990
Axis Mouse Bungee And Multiport Hub,2990
Baseus CoolRide Doubled Layered Windshield Sun Shade Umbrella Pro,3990
Baseus Crystal Shine Series Type-C to Lightning 20W Cable,990
Baseus Crystal Shine Series Type-C to Type-C 100W Cable,990
Baseus Enjoyment Series USB Type C to Mini PD HUB,1490
Baseus Lightning Cafule Special Cable,490
Baseus Mini Magnetic Type-C Elbow Adapter,1490
Baseus Mobile Game Adapter GA01,3490
Baseus Pudding Series High Speed Charging Cable Type-C to IP,890
Baseus T Shaped S-13 Car Bluetooth MP3 Player,1990
Baseus Type-C To HDMI Cable,2990
Baseus Type-C to Lightning 20W Cable,990
Baseus Type-C to Lightning 20W Cable,690
Baseus Type-C to Lightning Cable,1290
Baseus Type-C to Lightning Cable,590
Baseus USB to Micro Cable,990
Baseus USB to Type-C Cafule Cable,490
Baseus USB/Lightning Cafule Cable,990
Baseus Wireless Charger WXYL-K01,1990
Baseus Wireless MP3 Quick Charger,2490
Be Quiet! PSU Pure Power 12M 1000W,16990
Be Quiet! PSU Pure Power 12M 1200W,20990
Be Quiet! PURE LOOP 2 FX 240mm Cooler,17990
Blackview 2-in-1 Bluetooth Magnetic Keyboard For Tab 18,2990
Bloody Commander Laser Gaming Mouse ML160,3490
Bloody GH-30 Rogue Tower Gaming Case,8990
Bloody Light Strike 12000CPI RGB Optical Switch P30 Pro,2590
Brother  Multifunctional Printer DCP-B7500D,24990
Brother 3-in-1 Color Inkjet Printer DCP-T220,17990
Brother All-in-One Laser Printer MFC-L6950DW,64990
Brother Black and White Printer HL-1112E,11990
Brother Color All-In-One Printer DCP-T425W,24990
Brother Laser Printer DCP-1512E,19990
Brother Laser Printer HL1223WEYJ1,14990
Brother MFP Laser Printer MFCL2712DWYJ1,34990
Brother Mono Laser Printer  HL-6180DW,54990
Brother Mono Laser Printer HL-6400DW,64990
Brother Mono Laser Printer HL-L6250DN,37990
Brother QL-700 Label Printer,14990
Brother QL-800 High Speed Label Printer,14990
Canon CanoScan LiDE 400 Scanner,16990
Canon i-SENSYS LBP243dw Printer,24990
Canon i-SENSYS LBP246dw Printer,27990
Canon i-SENSYS LBP673Cdw Printer,31990
Canon i-SENSYS MF754Cdw Printer,59990
Canon Pixma MG2550S AIO Printer,5990
Canon Pixma MG3650S Printer,7990
CAT6E High Speed Ethernet Cable,259
Charger 35W Power Adapter USB-C To USB-C Cable,690
Charger USB-C to Lightning 20W,690
Charger USB-C to Lightning 25W,690
Charger USB-C to USB-C 25W,990
Corsair Domintator® Titanium RGB DDR5-6400 96GB (2x48GB),64990
Corsair Vengeance® DDR5-5200 32GB (2x16GB),12990
Corsair Vengeance® DDR5-6400 96GB (2x48GB),53990
Crucial 16GB DDR5-4800 UDIMM Ram,7990
Crucial 32GB DDR5-4800 SODIMM,11990
Crucial 8GB DDR5-4800 SODIMM,4990
Crucial P2 NVMe PCle M.2 SSD,3490
"Crucial Ram 4GB DDR4, 2400 MHz",2990
"Crucial Ram 8GB DDR4, 2666MHz",5990
"Crucial Ram 8GB DDR4, 3200 MHz",3490
"Crucial Ram Per Desktop, 16GB, DDR4 3200",5490
Crucial X6 External Portable SSD,5990
Cruzer Glide 3.0 USB Flash Drive,590
"Custom Build Gaming Desktop 32GB, 1TB SSD, Ryzen 7",199990
"Custom Build Gaming Desktop 64GB, 2TB SSD, Core™ i7",269990
"Custom Build, Desktop Gaming H610M-E, 16GB, 500GB SSD, Core I3",64990
Davin DF01 MP3 Car,490
Davin Lightning Audio + Charge Adapter,990
Dell 23″ Monitor P2317H,20990
Dell 24” Monitor P2422H,22990
"Dell Alienware M18 Gaming 18″, 32GB, 1TB SSD, Ryzen™ 9",269990
"Dell G15 5530 15.6”, 16GB, 1TB SSD, Core i7",109990
"Dell G15 5530 15.6”, 16GB, 1TB SSD, Core i7",139990
"Dell G15 5530 15.6”, 16GB, 512GB SSD, Ryzen 7",119990
"Dell Inspiron 14, 14″ Touchscreen, 16GB, 1TB SSD, Ryzen™ 7",119990
"Dell Latitude 5540, 15.6″, 16GB, 512GB SSD, Core™ i7",129990
Dell Mobile Pro Wireless Mouse – MS5120W,4990
"Dell Vostro 3530, 15.6″, 8GB, 512GB SSD, Core i5",52990
Dell Wireless Keyboard and Mouse Combo,4990
Dell Wireless Keyboard and Mouse KM3322W,3990
Dell Wireless Mouse WM126,2490
"Dell XPS 14 9440 14.5″, 16GB, 512GB SSD, Core™ Ultra 7",149990
"Desktop Gaming TUF Z790-Plus, 32GB, 1TB SSD, Core I7, Custom Build",329990
Desktop Load Balance Broadband Router,8490
Desktop Switch 16-Port 10/100 Mbps,2990
Desktop/Rackmount Switch 24-port 10/100Mbps,5990
Display Port To Display Port Cable,790
Earldom Lighting OTG Adapter ET-OT65,490
Earldom USB-C To USB 3.0 OTG Adapter OT64,990
"Eizo ColorEdge Monitor CG2730, 27″",129990
Electric Scooter Charger,2490
Electric Scooter N8/X7 Charger,2000
Electric USB Lighter,490
Extender 300Mbps Universal Wi-Fi Range,2290
FD Wired Keyboard Mouse 8300P,1090
FD Wired Mouse 3600N,490
FeelWorld 10.1″ 4K Ultra-Bright Touchscreen Monitor with Loop-Through HDMI & 3G-SDI,31990
FeelWorld D71 Dual 7″ 3 RU Rackmount 3G-SDI/HDMI LCD Monitor,59990
FeelWorld F5 Pro X 5.5″ High-Brightness HDMI Touchscreen Monitor,21990
FeelWorld F6 Plus X 5.5″ 4K HDMI Monitor,22990
FeelWorld FW568 V2 5.5″ IPS On-Camera Monitor,19990
FeelWorld FW759 7″ IPS HDMI On-Camera Monitor,13990
FeelWorld L4 HDMI Livestream Switcher with 10.1″ LCD Monitor,69990
FeelWorld SH7 7″ On-Camera Monitor,41490
FeelWorld TP10 Portable Teleprompter for Smartphone/Tablet/DSLR,13490
FeelWorld TP16 Folding Teleprompter for Tablets,19990
FeelWorld W1000S SDI + Dual HDMI Wireless Video Transmission System,54990
FTP Cat6 Patch Cable,190
FTP Cat6 Patch Cable,150
G.Skill Aegis DDR4-3000 8GB (1x8GB),2490
Gainward GeForce RTX™ 4060 Ti Ghost 8GB,41490
GeForce RTX™ 4060 EAGLE OC 8G,33990
GeForce RTX™ 4070 Ti SUPER 16G VENTUS 2X OC,93490
GeForce RTX™ 4070 Ti SUPER EAGLE OC 16G,97490
Gembird 2.5 mm to 3.5 mm audio adapter plug,90
Gembird 3.5 MM 4-PIN to RCA Audio-Video Cable,190
Gembird 3.5 MM Audio Splitter Cable,190
Gembird 3.5 mm Stereo Audio Cable,190
Gembird 3.5mm Stereo to RCA Plug Cable,90
Gembird Cat 5E LAN Coupler,190
Gembird Cotton Braided Micro-USB Charging and Data Cable,490
Gembird Digital to Analog Audio Converter,2500
"Gembird DisplayPort Cable, 4K",790
Gembird DisplayPort to DVI Adapter Cable,890
Gembird DisplayPort to VGA,990
Gembird Double-Sided USB 2.0 AM to Micro-USB cable,190
Gembird Duplex Multimode Fibre Optic Cable,490
Gembird DVI-I to 15-pin SVGA Video Adapter,790
Gembird Firewire IEEE 1394 Cable 4P/4P,490
Gembird Firewire IEEE 1394 Cable 6P/4P,490
Gembird HDMI High Speed Male-Male Cable,290
Gembird HDMI Male to Micro D-Male Cable,590
Gembird HDMI Male-Male Cable,390
"Gembird HDMI Splitter, 2 Ports",1990
Gembird HDMI to DVI Adapter,490
Gembird HDMI to VGA Converter,1790
Gembird HDTV Adapter,990
Gembird High Speed HDMI Cable with Ethernet “Select Series”,290
Gembird High Speed HDMI Male-Male Cable,490
Gembird High Speed Mini HDMI Cable with Ethernet,490
Gembird Magnetic USB Charging Combo,1590
Gembird Microphone and Headphone Extension Cable,490
Gembird Mini Display Port To HDMI Adapter Cable A-MDPM-HDMIF-02,990
Gembird Mini DisplayPort adapter,790
Gembird Mini DisplayPort to HDMI 4K Cable,1590
Gembird Power Cable C13 to C14,490
Gembird Premium Qquality USB 2.0 Extension Cable,190
"Gembird Toslink Optical Signal Splitter, 2 Ports",790
Gembird TV Plug to TV Socket Cable,190
Gembird USB 2.0 A-plug B-plug Cable,190
Gembird USB 2.0 AM to Type-C Cable (AM/CM),190
Gembird USB 3-in-1 Charging Cable,190
Gembird USB 3.0 A-plug B-plug Cable,490
Gembird USB 3.0 OTG Type-C Adapter Cable,590
Gembird USB 3.1 Type-C Cable (CM/CM),1400
Gembird USB AM to Micro-USB cable,129
Gembird USB To PS/2 Converter Cable,490
Genius NX-7015 Wireless Mouse,1300
Gigabyte Aorus M6 Gaming Mouse,9990
Gigabyte B760 Gaming X (rev. 1.0),16990
Gigabyte GeForce RTX™ 4060 Ti WINDFORCE OC 8G,43490
Gigabyte GeForce RTX™ 4070 Ti Gaming OC V2 12G,87990
Gigabyte Radeon™ RX 7700 XT GAMING OC 12G,47990
Gigabyte Z790 UD AX LGA 1700,26990
HAVIT 6-in-1 Wireless Charger,2990
HAVIT 60W PD Car Charger,1490
HAVIT Dual Port Car Charger,990
HAVIT MS1001S Gaming Mouse,790
HAVIT MS1005 Gaming Mouse,990
HAVIT MS1031 Gaming Mouse,990
Havit MS550GT Vertical Wireless Mouse,1290
HAVIT MS959S Gaming Mouse,990
HAVIT MS959WB Gaming Mouse,1790
HAVIT MS963WB Gaming Mouse,1790
HAVIT Multi-Function Keyboard KB252,1690
Havit USB-C Hub (4-in-1),690
"Havit USB-C Hub (7-in-1, 4K HDMI)",3490
HAVIT Wireless Car MP3 Player,1990
Havit Wireless Mouse,690
HAVIT Wireless Mouse MS626GT,490
HAVIT Wireless Mouse MS76GT,790
HAWEEL 28W Foldable Solar Panel Charger,6990
HDD Verbatim Store ‘n’ Go,5990
HDMI Cable 1.5M,490
HDMI Cable 10M,1490
"HDMI Full HD Cable, 5m",1490
HDMI to DisplayPort Cable,1290
HDMI to Micro-HDMI Adapter,490
Hitachi-LG External USB DVD-RW Drive,2990
Hoverboard Charger,2000
HP 23.8″ E24 G5 Monitor,19990
"HP 250 G10 15.6”, 8GB, 512GB SSD, Core i3",44990
HP 280 Silent Wireless Mouse,2490
"HP AIO 23.8″, 8GB, 512GB SSD, Core i3",74990
"HP AIO 23.8″, 8GB, 512GB SSD, Core i5",99990
"HP AIO 24-CR0013NH, 24″, 8GB, 512GB SSD, Core i5",94990
"HP AIO 27-CR0010NH, 27″, 16GB, 512GB SSD, Core i5",114990
"HP EliteBook 650 G10 Notebook 15.6″, 32GB, 512GB, Core i7",124990
HP High Speed Display Port Cable 2M,1990
HP LaserJet MFP M141w Printer,19990
HP LaserJet Pro MFP 3103fdw Printer,37990
HP Network Cable C5E,490
"HP Notebook 255 G10, 15.6″, 16GB, 512GB SSD, Ryzen™  7",74990
"HP Notebook 255 G9 15.6″, 8GB, 256GB, AMD Ryzen™ 3",42990
HP Omen 600 Wired Gaming Mouse,6990
HP P27 G5 FHD Monitor 27”,21990
HP Printer Laser MFP 135a,15490
HP Printer LaserJet MFP M141A,17990
"HP Pro Tower 290 G9  8GB, 256GB SSD, Core i3",41990
"HP ProOne 245 G10 AIO, 23.8″, 8GB, 512GB SSD, Ryzen 3",54990
HP Series 5 23.8″ FHD Monitor,21990
HP Series 5 23.8″ Monitor FHD,16990
"HP Spectre x360 16″ Touchscreen, 16GB, 512GB SSD, Core i7",124990
HP USB V2.0 A-Plug B-Plug Cable 3M,490
HP V24v G5 23.8″ FHD Monitor,16990
HP VGA to VGA Cable,990
"HP Victus Gaming 15.6″, 8GB, 512GB SSD, AMD Ryzen 5",79990
"HP Victus Gaming 16.1″, 16GB, 512GB SSD, Ryzen™ 7",149990
"HP ZBook Power G10, 15.6″, 16GB, 512GB SSD, Ryzen 9",139990
HyperX Alloy Origins 60 – Mechanical Gaming Keyboard,11990
HyperX Pulsefire Haste 2 Wireless Gaming Mouse,6990
HyperX Pulsefire Haste Gaming Mouse,5990
"Innovation IT 4GB DDR3, 1600 MHz Ram",1990
Innovation IT Performance SSD M.2,2790
"Innovation IT Ram 16GB DDR4, 3200 MHz",8990
Instax SQ Link,13990
Intel® Core™ i3-14100F CPU Tray,14990
Intenso 2.5″ SATA III SSD,2790
Intenso External SSD TX500 1TB,8990
Intenso Top Performance M.2 SSD,2990
Kingston A400 SATA SSD,2790
Kingston Beast DDR5 RGB XMP Desktop Memory 16GB,7490
Kingston DataTraveler Exodia M USB Flash Drive,590
Kingston DataTraveler Exodia USB Flash Drive,590
Kingston DataTraveler Exodia USB Flash Drive (2 Pack),990
Kingston DataTraveler Kyson USB 3.2 Gen 1 Flash Drive,990
Kingston DataTraveler microDuo 3C USB Flash Drive,1290
"Kingston Fury Beast RGB 32GB DDR5, 6000 MT/s",14490
"Kingston Fury Beast RGB 64GB DDR5, 6000 MT/s",26490
Kingston NV2 PCIe 4.0 NVMe SSD,14990
Kingston NVMe PCle M.2 SSD,6990
Kingston NVMe PCle M.2 SSD SNV2S,28990
Kingston NVMe PCle M.2 SSD SNV2S,4290
Kodak Cable 1M USB-C To USB-C,290
"Kodak Cable 3 In 1 For Android, Iphone",390
Lan Cable,390
Lan Cable 1m,190
Lan Cable Cat6 15M,1290
"Laptop Apple Macbook Pro 13.3″, 8GB, 256GB SSD, M2 (2022)",129990
"Laptop Apple Macbook Pro 13″, 8GB, 512GB SSD, M2 (2022)",149990
"Laptop HP 250 G9 15.6”, 8GB, 256GB SSD, N4500",34990
"Laptop HP Envy 17 17.3″, 32GB, 1TB SSD, Core™ Ultra 7",159990
"Laptop HP Envy x360 16″ Touchscreen, 16GB, 1TB SSD, Core™ Ultra 7-155U",119990
"Laptop HP Envy x360 16″ Touchscreen, 16GB, 512GB SSD, Core™ Ultra 5-125U",99990
"Laptop HP Envy X360, 14″ Touchscreen, 16GB, 512GB SSD, Core™ 7",94990
"Laptop HP Envy X360, 14″ Touchscreen, 8GB, 512GB SSD, Core™ 5-120U",69990
LB-LINK 300Mbps Wireless N 4G LTE Router,4990
"Lenovo AIO IdeaCentre 3, 27″, 16GB, 1TB SSD, Ryzen™ 5",84990
"Lenovo AIO IdeaCentre 3, 27″, 16GB, 1TB SSD, Ryzen™ 7",94990
"Lenovo AIO IdeaCentre, 23.8″, 16GB, 1TB SSD, Ryzen™ 3",74990
"Lenovo AIO IdeaCentre, 23.8″, 16GB, 1TB SSD, Ryzen™ 5",79990
"Lenovo AIO IdeaCentre, 27″, 16GB, 1TB SSD, Core i3",79990
"Lenovo AIO ThinkCentre Neo 30a G4, 23.8″, 16GB, 512GB SSD, Core i5",88990
"Lenovo AIO ThinkCentre Neo 30a G4, 23.8″, 16GB, 512GB SSD, Core i7",89990
Lenovo Legion K300 RGB Gaming Keyboard,5990
Lenovo Legion M300 RGB Gaming Mouse,3990
"Lenovo Legion Pro 5 16″, 32GB, 1TB SSD, Core i9",189990
"Lenovo LOQ 15.6″, 16GB, 512GB SSD, Core i5",74990
"Lenovo LOQ 15.6″, 16GB, 512GB SSD, Ryzen™ 7",129990
"Lenovo LOQ 16″, 16GB, 512GB SSD, Core i5",99990
"Lenovo LOQ 16″, 8GB, 512GB SSD, Core i5",89990
Lenovo Tab M7,4990
"Lenovo ThinkPad L13 Yoga 13″, 8GB, 256GB SSD, Core i5",36990
"Lenovo V15 G2 15.6″, 8GB, 256GB SSD, Celeron®",32990
"Lenovo V15 G4 ABP15.6″, 16GB, 512GB SSD, Ryzen™ 7",67990
"Lenovo V15 G4 AMN 15.6″, 16GB, 512GB SSD, Ryzen 5",47990
"Lenovo V15 G4 AMN 15.6″, 8GB, 512GB SSD, Ryzen 5",49990
"Lenovo Yoga 7 14″ Touchscreen, 16GB, 1TB SSD, Core™ Ultra 7-155U",119990
"Lenovo Yoga 7 14″ Touchscreen, 16GB, 512GB SSD, Core™ Ultra 5-125U",84990
"Lenovo Yoga 7 14″ Touchscreen, 8GB, 512GB SSD, Ryzen™ 5",64990
"Lenovo Yoga 7 16″ Touchscreen, 16GB, 1TB SSD, Core™ Ultra 7-155U",119990
"Lenovo Yoga 7 16″, 8GB, 512GB SSD, Core i5",84990
"Lenovo Yoga Book 9i, 13.3″, 16GB, 1TB SSD, Core™ Ultra 7",259990
"Lenovo Yoga Book 9i, 14″ Touchscreen, 16GB, 1TB SSD, Core i7",189990
Lightning to 3.5 AUX Audio Adapter Cable,490
Logitech Ergo M575 Wireless Trackball,3490
Logitech G X52 Professional H.O.T.A.S Throttle and Stick Simulation Controller,24990
Logitech G X56 H.O.T.A.S RGB Throttle & Stick Simulation Controller,27990
Logitech G102 Lightsync Wired Gaming Mouse,2490
Logitech G304 Gaming Mouse,4990
Logitech G304 Lightspeed Wireless Gaming Mouse,3990
Logitech G502 Hero Gaming Mouse,4490
Logitech G502 SE Hero Gaming Mouse,4490
Logitech G502 X Wireless Gaming Mouse,8990
Logitech G903 Lightspeed Gaming Mouse,9990
Logitech K380 Multi-Device Bluetooth Keyboard,2990
Logitech K480 Slim Bluetooth Multi-device Keyboard,4990
Logitech K580 Slim Wireless Keyboard,4990
Logitech M185 Wireless Mouse,1190
Logitech M190 Wireless Mouse,1490
Logitech M235 Wireless Mouse,1490
Logitech MX Anywhere 3,8990
Logitech MX Anywhere 3S,8490
Logitech MX Keys Mini Wireless Keyboard,9990
Logitech MX Keys Mini Wireless Keyboard for MAC,11990
Logitech Mx Master 3S,8990
Logitech Pebble Mouse 2 M350s,2490
Logitech Pop Wireless Mouse,2490
Logitech R500s Laser Presentation Remote,4990
Logitech R800 Laser Presentation Remote,12490
Magic Keyboard for iPad Pro 11-inch,29990
Manli GeForce RTX™ 3050 (M2524+N640),23990
Mcdodo Bluetooth FM Transimtter Car Charger,1290
Mcdodo CA-0780 Lightning to 3.5mm Jack AUX Cable,990
Mcdodo Stereo Audio Extension Cable,490
Mcdodo USB-C to USB-C Data Coiled Cable,990
Mcdodo Wireless Charger for Apple Watch,1490
Mercusys 5-Port 10/100Mbps Desktop Switch,790
Mercusys 8-Port 10/100Mbps Desktop Switch,990
Mi Type-C to Lightning Cable 1M,1990
Mi USB Type-C to Type-C Cable 150 cm,490
Mi Wifi Range Extender AC1200,2490
"Microsoft Surface 5, 15″, 16GB, 512GB SSD, Core I7",159990
"Microsoft Surface Pro 10, 13″, 8GB, 256GB SSD, Core™ Ultra 5",129990
"Microsoft Surface Pro 9, 13″, 8GB, 256GB SSD, Core i5",99990
Microsoft Surface Pro Signature Keyboard With Slim Pen 2,24990
"Microsoft Surface Pro X 13″, 8GB, 256GB SSD, SQ1",79990
Mini HDMI to AV Converter,1190
Mini VGA to HDMI Converter,1190
Motherboard Asus ProArt X670E-Creator WiFi,54990
Motherboard ROG Maximus Z790 Dark Hero,77990
Motherboard ROG Strix Z790-H Gaming Wi-Fi,39990
Motherboard TUF Gaming B760-Plus Wifi,22990
Moxom OTG Adapter 3-in-1 Type C to USB-A,1290
"MSI Bravo 15 15.6”, 16GB, 1TB SSD, AMD Ryzen 9",139990
MSI GeForce RTX™ 3050 VENTUS 2X XS 8G OC,24990
MSI GeForce RTX™ 4060 Ti VENTUS 2X BLACK 8G OC,42990
MSI GeForce RTX™ 4060 Ti VENTUS 3X 16G OC,54990
MSI GeForce RTX™ 4060 VENTUS 2X BLACK 8G OC,33990
MSI Pro H610M-E DDR4,9990
MSI Radeon™ RX 7900 XTX Gaming Trio Classic 24G,109990
Ocom M15 Thermal Printer,4990
Ocom Thermal Receipt Printer,9990
Patch Cable FTP Cat6 10M,890
Patch Cable FTP Cat6 30M,1990
Patch Cable UTP Cat6 20M,1390
Patriot Signature Line DDR4 8GB 2666MHz,2990
PC Case 802B – Black_Wanderer_X – ATX,7990
PC Case 803B – Shaded_X – ATX,7990
PC Case 805BW – Holo-1_X – ATX,7990
PC Case 808B – Skylla_X – ATX,10990
PC Case Asus ProArt PA602,29990
PC Case Asus ROG Hyperion GR701,59990
PC Case Asus ROG Strix Helios,42990
PC Case Asus TUF Gaming GT301,17990
PC Case Asus TUF Gaming GT302,24990
PC Case Asus TUF Gaming GT501,24990
PC Case C-701 Panorama,9990
PC Case LC Power 703B – Quad-Luxx – ATX,6990
PC Case LC Power Gaming 804B – Obsession_X,7990
PC Case Thermaltake AH T200,15990
PC Case Thermaltake H570 TG ARGB,11990
PC Case Thermaltake T27 TG ARGB,14990
Phomemo M200 Thermal Printer,6490
Portable SSD T9 USB 3.2 Gen2x2 2TB,26990
Power Tree UPS 850VA with 10AH Battery,6990
Power Tree UPS S650C,5990
Primo Wireless Mouse,990
Printer Brother MFP Laser DCP1623WEYJ1,22990
Printer Cable,290
Printer Cable 1.8m,390
Printer Cable Usb 2.0,390
Processor AMD Ryzen™ 5 8500G,18490
Processor AMD Ryzen™ 5 8600G,28490
Processor AMD Ryzen™ 7 8700G,32990
Processor Intel Core i5-14600KF,37990
Processor Intel Core i9-14900K,63490
Processor Intel Core i9-14900KF,64990
PSU Asus ROG STRIX 850G,21990
